"","Treatment","Tube.","Locate","Date","TotLength.mm.","TotProjArea.mm2.","TotSurfArea.mm2.","TotAvgDiam.mm.10.","TotVolume.mm3.","TotNumberOfTips","Locate2"
"121","cut",12,"1_4","2019.05.31",36.7178,13.2491,41.6235,10.5445,7.114,7,1
"122","cut",12,"5_8","2019.05.31",118.1844,24.759,77.7827,8.5276,6.585,35,1
"123","cut",12,"9_12","2019.05.31",4.2615,1.1439,3.5936,5.3622,0.243,3,1
"124","cut",12,"13_16","2019.05.31",40.3314,13.7294,43.1321,12.7234,4.1,8,1
"125","cut",12,"17_20","2019.05.31",0,0,0,0,0,0,1
"126","cut",12,"21_24","2019.05.31",62.1629,16.5529,52.0024,8.355,4.041,15,1
"127","cut",12,"25_28","2019.05.31",60.7555,24.1546,75.8838,16.0966,8.226,8,2
"128","cut",12,"29_32","2019.05.31",17.5114,12.5138,39.3133,7.1461,8.307,2,2
"129","cut",12,"33_36","2019.05.31",0,0,0,0,0,0,2
"130","cut",12,"37_40","2019.05.31",0,0,0,0,0,0,2
"131","cut",12,"41_44","2019.05.31",0,0,0,0,0,0,2
"132","cut",22,"1_4","2019.05.31",53.7339,23.6158,74.1914,16.929,10.879,13,1
"133","cut",22,"5_8","2019.05.31",25.3429,5.2603,16.5258,4.1495,0.865,9,1
"134","cut",22,"9_12","2019.05.31",32.7303,17.7299,55.7002,10.8944,12.956,9,1
"135","cut",22,"13_16","2019.05.31",10.8189,6.9115,21.713,11.0055,5.373,3,1
"136","cut",22,"17_20","2019.05.31",0,0,0,0,0,0,1
"137","cut",22,"21_24","2019.05.31",15.033,7.3978,23.2411,14.8248,3.05,3,1
"138","cut",22,"25_28","2019.05.31",51.144,18.0837,56.8114,11.3495,5.496,15,2
"139","cut",22,"29_32","2019.05.31",18.9757,5.0196,15.7695,6.1584,1.109,8,2
"140","cut",22,"33_36","2019.05.31",0,0,0,0,0,0,2
"141","cut",22,"37_40","2019.05.31",12.4171,3.3505,10.5257,2.6983,0.71,1,2
"142","cut",22,"41_44","2019.05.31",0,0,0,0,0,0,2
"143","control",23,"1_4","2019.05.31",50.1221,10.2178,32.1001,4.1876,1.934,13,1
"144","control",23,"5_8","2019.05.31",44.1426,8.7714,27.5561,4.1081,1.491,8,1
"145","control",23,"9_12","2019.05.31",0,0,0,0,0,0,1
"146","control",23,"13_16","2019.05.31",0,0,0,0,0,0,1
"147","control",23,"17_20","2019.05.31",0,0,0,0,0,0,1
"148","control",23,"21_24","2019.05.31",0,0,0,0,0,0,1
"149","control",23,"25_28","2019.05.31",0,0,0,0,0,0,2
"150","control",23,"29_32","2019.05.31",0,0,0,0,0,0,2
"151","control",23,"33_36","2019.05.31",10.0298,4.4337,13.929,8.7931,1.555,2,2
"152","control",23,"37_40","2019.05.31",0,0,0,0,0,0,2
"153","control",23,"41_44","2019.05.31",5.0925,1.8576,5.8357,3.6477,0.543,2,2
"154","cut+manure",24,"1_4","2019.05.31",65.4983,44.5137,139.8441,26.2843,31.894,14,1
"155","cut+manure",24,"5_8","2019.05.31",56.2534,18.9631,59.5741,13.9174,5.416,11,1
"156","cut+manure",24,"9_12","2019.05.31",26.6645,17.8994,56.2326,13.3912,10.016,8,1
"157","cut+manure",24,"13_16","2019.05.31",2.1944,0.5353,1.6816,2.4392,0.103,1,1
"158","cut+manure",24,"17_20","2019.05.31",0,0,0,0,0,0,1
"159","cut+manure",24,"21_24","2019.05.31",1.7491,1.5766,4.953,9.0138,1.12,1,1
"160","cut+manure",24,"25_28","2019.05.31",0.3685,0.3096,0.9725,8.4016,0.204,1,2
"161","cut+manure",24,"29_32","2019.05.31",1.3763,0.373,1.1718,2.7102,0.079,1,2
"162","cut+manure",24,"33_36","2019.05.31",29.8226,16.4718,51.7476,15.3155,7.696,8,2
"163","cut+manure",24,"37_40","2019.05.31",0,0,0,0,0,0,2
"164","cut+manure",24,"41_44","2019.05.31",101.8493,28.5479,89.6857,10.9209,7.661,35,2
"165","cut+manure",6,"1_4","2019.05.31",106.6655,39.34,123.5901,11.1038,15.003,27,1
"166","cut+manure",6,"5_8","2019.05.31",49.8541,24.5317,77.0688,16.6287,13.318,10,1
